+ mkdir -p wily/powerpc/rootfs
+ /usr/sbin/qemu-debootstrap --arch=powerpc --variant=minbase --components=main,universe --include=inetutils-ping,iproute2 wily wily/powerpc/rootfs http://ports.ubuntu.com/ubuntu-ports
I: Running command: debootstrap --arch powerpc --foreign --variant=minbase --components=main,universe --include=inetutils-ping,iproute2 wily wily/powerpc/rootfs http://ports.ubuntu.com/ubuntu-ports
I: Retrieving Release 
I: Retrieving Release.gpg 
I: Checking Release signature
I: Valid Release signature (key id 790BC7277767219C42C86F933B4FE6ACC0B21F32)
I: Retrieving Packages 
I: Validating Packages 
I: Retrieving Packages 
I: Validating Packages 
I: Resolving dependencies of required packages...
I: Resolving dependencies of base packages...
I: Found additional base dependencies: gnupg gpgv libapt-pkg4.16 libreadline6 libstdc++6 libusb-0.1-4 netbase readline-common ubuntu-keyring 
I: Checking component main on http://ports.ubuntu.com/ubuntu-ports...
I: Checking component universe on http://ports.ubuntu.com/ubuntu-ports...
I: Retrieving adduser 3.113+nmu3ubuntu4
I: Validating adduser 3.113+nmu3ubuntu4
I: Retrieving apt 1.0.10.2ubuntu1
I: Validating apt 1.0.10.2ubuntu1
I: Retrieving base-files 7.2ubuntu11
I: Validating base-files 7.2ubuntu11
I: Retrieving base-passwd 3.5.38
I: Validating base-passwd 3.5.38
I: Retrieving bash 4.3-14ubuntu1
I: Validating bash 4.3-14ubuntu1
I: Retrieving bsdutils 1:2.26.2-6ubuntu3
I: Validating bsdutils 1:2.26.2-6ubuntu3
I: Retrieving coreutils 8.23-4ubuntu2
I: Validating coreutils 8.23-4ubuntu2
I: Retrieving dash 0.5.7-4ubuntu2
I: Validating dash 0.5.7-4ubuntu2
I: Retrieving debconf 1.5.57ubuntu1
I: Validating debconf 1.5.57ubuntu1
I: Retrieving debianutils 4.5.1
I: Validating debianutils 4.5.1
I: Retrieving diffutils 1:3.3-1
I: Validating diffutils 1:3.3-1
I: Retrieving dmsetup 2:1.02.99-1ubuntu1
I: Validating dmsetup 2:1.02.99-1ubuntu1
I: Retrieving dpkg 1.18.2ubuntu5
I: Validating dpkg 1.18.2ubuntu5
I: Retrieving e2fslibs 1.42.12-1ubuntu2
I: Validating e2fslibs 1.42.12-1ubuntu2
I: Retrieving e2fsprogs 1.42.12-1ubuntu2
I: Validating e2fsprogs 1.42.12-1ubuntu2
I: Retrieving findutils 4.4.2-9build1
I: Validating findutils 4.4.2-9build1
I: Retrieving gcc-5-base 5.2.1-22ubuntu2
I: Validating gcc-5-base 5.2.1-22ubuntu2
I: Retrieving gnupg 1.4.18-7ubuntu1
I: Validating gnupg 1.4.18-7ubuntu1
I: Retrieving gpgv 1.4.18-7ubuntu1
I: Validating gpgv 1.4.18-7ubuntu1
I: Retrieving grep 2.21-2
I: Validating grep 2.21-2
I: Retrieving gzip 1.6-4ubuntu1
I: Validating gzip 1.6-4ubuntu1
I: Retrieving hostname 3.15ubuntu2
I: Validating hostname 3.15ubuntu2
I: Retrieving init 1.23ubuntu3
I: Validating init 1.23ubuntu3
I: Retrieving initscripts 2.88dsf-59.2ubuntu2
I: Validating initscripts 2.88dsf-59.2ubuntu2
I: Retrieving insserv 1.14.0-5ubuntu3
I: Validating insserv 1.14.0-5ubuntu3
I: Retrieving iproute2 4.1.1-1ubuntu1
I: Validating iproute2 4.1.1-1ubuntu1
I: Retrieving libacl1 2.2.52-2
I: Validating libacl1 2.2.52-2
I: Retrieving libapparmor1 2.10-0ubuntu6
I: Validating libapparmor1 2.10-0ubuntu6
I: Retrieving libapt-pkg4.16 1.0.10.2ubuntu1
I: Validating libapt-pkg4.16 1.0.10.2ubuntu1
I: Retrieving libattr1 1:2.4.47-2
I: Validating libattr1 1:2.4.47-2
I: Retrieving libaudit-common 1:2.4.2-1ubuntu1
I: Validating libaudit-common 1:2.4.2-1ubuntu1
I: Retrieving libaudit1 1:2.4.2-1ubuntu1
I: Validating libaudit1 1:2.4.2-1ubuntu1
I: Retrieving libblkid1 2.26.2-6ubuntu3
I: Validating libblkid1 2.26.2-6ubuntu3
I: Retrieving libbz2-1.0 1.0.6-8
I: Validating libbz2-1.0 1.0.6-8
I: Retrieving libc-bin 2.21-0ubuntu4
I: Validating libc-bin 2.21-0ubuntu4
I: Retrieving libc6 2.21-0ubuntu4
I: Validating libc6 2.21-0ubuntu4
I: Retrieving libcap2 1:2.24-9
I: Validating libcap2 1:2.24-9
I: Retrieving libcap2-bin 1:2.24-9
I: Validating libcap2-bin 1:2.24-9
I: Retrieving libcomerr2 1.42.12-1ubuntu2
I: Validating libcomerr2 1.42.12-1ubuntu2
I: Retrieving libcryptsetup4 2:1.6.6-5ubuntu2
I: Validating libcryptsetup4 2:1.6.6-5ubuntu2
I: Retrieving libdb5.3 5.3.28-11
I: Validating libdb5.3 5.3.28-11
I: Retrieving libdebconfclient0 0.192ubuntu1
I: Validating libdebconfclient0 0.192ubuntu1
I: Retrieving libdevmapper1.02.1 2:1.02.99-1ubuntu1
I: Validating libdevmapper1.02.1 2:1.02.99-1ubuntu1
I: Retrieving libfdisk1 2.26.2-6ubuntu3
I: Validating libfdisk1 2.26.2-6ubuntu3
I: Retrieving libgcc1 1:5.2.1-22ubuntu2
I: Validating libgcc1 1:5.2.1-22ubuntu2
I: Retrieving libgcrypt20 1.6.3-2ubuntu1
I: Validating libgcrypt20 1.6.3-2ubuntu1
I: Retrieving libgpg-error0 1.19-2
I: Validating libgpg-error0 1.19-2
I: Retrieving libkmod2 21-1ubuntu1
I: Validating libkmod2 21-1ubuntu1
I: Retrieving liblzma5 5.1.1alpha+20120614-2ubuntu2
I: Validating liblzma5 5.1.1alpha+20120614-2ubuntu2
I: Retrieving libmount1 2.26.2-6ubuntu3
I: Validating libmount1 2.26.2-6ubuntu3
I: Retrieving libncurses5 5.9+20150516-2ubuntu1
I: Validating libncurses5 5.9+20150516-2ubuntu1
I: Retrieving libncursesw5 5.9+20150516-2ubuntu1
I: Validating libncursesw5 5.9+20150516-2ubuntu1
I: Retrieving libpam-modules 1.1.8-3.1ubuntu3
I: Validating libpam-modules 1.1.8-3.1ubuntu3
I: Retrieving libpam-modules-bin 1.1.8-3.1ubuntu3
I: Validating libpam-modules-bin 1.1.8-3.1ubuntu3
I: Retrieving libpam-runtime 1.1.8-3.1ubuntu3
I: Validating libpam-runtime 1.1.8-3.1ubuntu3
I: Retrieving libpam0g 1.1.8-3.1ubuntu3
I: Validating libpam0g 1.1.8-3.1ubuntu3
I: Retrieving libpcre3 2:8.35-7.1ubuntu1
I: Validating libpcre3 2:8.35-7.1ubuntu1
I: Retrieving libprocps3 1:3.3.9-1ubuntu8
I: Validating libprocps3 1:3.3.9-1ubuntu8
I: Retrieving libreadline6 6.3-8ubuntu1
I: Validating libreadline6 6.3-8ubuntu1
I: Retrieving libseccomp2 2.2.3-2ubuntu1
I: Validating libseccomp2 2.2.3-2ubuntu1
I: Retrieving libselinux1 2.3-2build1
I: Validating libselinux1 2.3-2build1
I: Retrieving libsemanage-common 2.3-1build2
I: Validating libsemanage-common 2.3-1build2
